profile,case_id,technology,rho,tau,RI_star,source_result
short,01_sram_acim,SRAM ACIM,83.11688311688312,7272.727272727272,0.011428571428571429,01_sram_acim/data/results.json#/scenarios/0
reference,01_sram_acim,SRAM ACIM,39.875389408099686,3200.0,0.012461059190031152,01_sram_acim/data/results.json#/scenarios/1
long,01_sram_acim,SRAM ACIM,16.623376623376622,1600.0,0.010389610389610388,01_sram_acim/data/results.json#/scenarios/2
short,02_sram_dcim,SRAM DCIM,58.034095030830606,7272.727272727272,0.00797968806673921,02_sram_dcim/data/results.json#/scenarios/0
reference,02_sram_dcim,SRAM DCIM,49.80544747081712,3200.0,0.01556420233463035,02_sram_dcim/data/results.json#/scenarios/1
long,02_sram_dcim,SRAM DCIM,24.90272373540856,1600.0,0.01556420233463035,02_sram_dcim/data/results.json#/scenarios/2
short,03_nor_2d,2D NOR Flash,4.901209986215346,0.07968781675226233,61.505135740542194,03_nor_2d/data/results.json#/scenarios/0
reference,03_nor_2d,2D NOR Flash,3.998750390502968,0.0796864679887435,50.18104693845674,03_nor_2d/data/results.json#/scenarios/1
long,03_nor_2d,2D NOR Flash,3.5694366982710544,0.009142797959566778,390.4096660624652,03_nor_2d/data/results.json#/scenarios/2
short,04_nand_3d,3D NAND,0.07654641702966414,0.004570968273392983,16.746214904888088,04_nand_3d/data/results.json#/main_scenarios/0/rewrite
reference,04_nand_3d,3D NAND,0.07584367197137849,0.0023270133555214623,32.59271021862383,04_nand_3d/data/results.json#/main_scenarios/1/rewrite
long,04_nand_3d,3D NAND,0.07507454667877245,0.0013472032798553212,55.72622023814761,04_nand_3d/data/results.json#/main_scenarios/2/rewrite
short,05_rram,RRAM,23.791821561338292,0.33098882912701694,71.88104089219331,05_rram/data/results.json#/scenarios/0
reference,05_rram,RRAM,12.48780487804878,0.21926819240783882,56.95219512195122,05_rram/data/results.json#/scenarios/1
long,05_rram,RRAM,5.876951331496786,0.10803511141120863,54.398530762167134,05_rram/data/results.json#/scenarios/2
short,06_mram,MRAM,99.68847352024922,142.85714285714283,0.6978193146417446,06_mram/data/results.json#/scenarios/0
reference,06_mram,MRAM,49.80544747081712,84.21052631578948,0.5914396887159533,06_mram/data/results.json#/scenarios/1
long,06_mram,MRAM,24.90272373540856,61.53846153846153,0.4046692607003891,06_mram/data/results.json#/scenarios/2
short,07_pcm,PCM,5.207485760781123,7.972097658196313,0.653213995117982,07_pcm/data/results.json#/paired_scenarios/0
reference,07_pcm,PCM,2.4995118140988084,6.874328678839956,0.3636008592071861,07_pcm/data/results.json#/paired_scenarios/1
long,07_pcm,PCM,1.0414971521562244,4.945904173106645,0.21057770545158666,07_pcm/data/results.json#/paired_scenarios/2
short,08_feram_hfo2,HfO₂ FeRAM,68.81720430107526,307.6923076923077,0.22365591397849463,08_feram_hfo2/data/results.json#/paired/0
reference,08_feram_hfo2,HfO₂ FeRAM,26.611226611226606,106.66666666666666,0.24948024948024947,08_feram_hfo2/data/results.json#/paired/1
long,08_feram_hfo2,HfO₂ FeRAM,12.877263581488931,53.33333333333333,0.24144869215291748,08_feram_hfo2/data/results.json#/paired/2
short,09_gain_cell_edram,Gain-cell eDRAM,4.534209534069485,118.55999999999999,0.03824400754107191,09_gain_cell_edram/data/results.json#/scenarios/0
reference,09_gain_cell_edram,Gain-cell eDRAM,1.8043056141831997,66.7875,0.027015618404390037,09_gain_cell_edram/data/results.json#/scenarios/1
long,09_gain_cell_edram,Gain-cell eDRAM,0.1402788622420524,5.988571428571428,0.023424428332403793,09_gain_cell_edram/data/results.json#/scenarios/2
short,10_fenor_3d,3D vertical AND FeFET（2026）,22.711142654364796,11.267605633802816,2.0156139105748756,10_fenor_3d/data/results.json#/main_scenarios/0
reference,10_fenor_3d,3D vertical AND FeFET（2026）,11.101474414570683,9.248554913294797,1.2003469210754554,10_fenor_3d/data/results.json#/main_scenarios/1
long,10_fenor_3d,3D vertical AND FeFET（2026）,5.550737207285342,6.837606837606837,0.8117953165654813,10_fenor_3d/data/results.json#/main_scenarios/2
