case_id,technology,rho,tau,RI_star,source_result
01_sram_acim,SRAM ACIM,39.875389408099686,3200.0,0.012461059190031152,01_sram_acim/data/results.json#/scenarios/1
02_sram_dcim,SRAM DCIM,49.80544747081712,3200.0,0.01556420233463035,02_sram_dcim/data/results.json#/scenarios/1
03_nor_2d,2D NOR Flash,3.998750390502968,0.0796864679887435,50.18104693845674,03_nor_2d/data/results.json#/scenarios/1
04_nand_3d,3D NAND,0.07584367197137849,0.0023270133555214623,32.59271021862383,04_nand_3d/data/results.json#/main_scenarios/1/rewrite
05_rram,RRAM,12.48780487804878,0.21926819240783882,56.95219512195122,05_rram/data/results.json#/scenarios/1
06_mram,MRAM,49.80544747081712,84.21052631578948,0.5914396887159533,06_mram/data/results.json#/scenarios/1
07_pcm,PCM,2.4995118140988084,6.874328678839956,0.3636008592071861,07_pcm/data/results.json#/paired_scenarios/1
08_feram_hfo2,HfO₂ FeRAM,26.611226611226606,106.66666666666666,0.24948024948024947,08_feram_hfo2/data/results.json#/paired/1
09_gain_cell_edram,Gain-cell eDRAM,1.8043056141831997,66.7875,0.027015618404390037,09_gain_cell_edram/data/results.json#/scenarios/1
10_fenor_3d,3D vertical AND FeFET（2026）,11.101474414570683,9.248554913294797,1.2003469210754554,10_fenor_3d/data/results.json#/main_scenarios/1
