case_id,technology,profile,scenario_type,rho_MB_per_s,tau_MB_per_s,RI_star,B_S_Byte,B_R_Byte,availability,mode,update_pattern,source_result,source_ids
01_sram_acim,SRAM ACIM,short,paired_conditional,83.11688311688312,7272.727272727272,0.011428571428571429,128,16,1,二进制9T1C电荷域；128行求和；8位平面并行,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,01_sram_acim/data/results.json#/scenarios/0,CMOS-02; CMOS-03; CMOS-07; SACIM-01; SACIM-03; SACIM-05
01_sram_acim,SRAM ACIM,reference,recommended_reference,39.875389408099686,3200.0,0.012461059190031152,128,16,1,二进制9T1C电荷域；128行求和；8位平面并行,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,01_sram_acim/data/results.json#/scenarios/1,CMOS-02; CMOS-03; CMOS-07; SACIM-01; SACIM-03; SACIM-05
01_sram_acim,SRAM ACIM,long,paired_conditional,16.623376623376622,1600.0,0.010389610389610388,128,16,1,二进制9T1C电荷域；128行求和；8位平面并行,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,01_sram_acim/data/results.json#/scenarios/2,CMOS-02; CMOS-03; CMOS-07; SACIM-01; SACIM-03; SACIM-05
02_sram_dcim,SRAM DCIM,short,paired_conditional,58.034095030830606,7272.727272727272,0.00797968806673921,128,16,1,二进制6T；D6CIM型16项归约、16活动输出通道,对齐128 bit普通写口，完成16 Byte；1024事务覆盖整矩阵,02_sram_dcim/data/results.json#/scenarios/0,CMOS-03; CMOS-07; SDCIM-01; SDCIM-02; SDCIM-03; SDCIM-04; SDCIM-05
02_sram_dcim,SRAM DCIM,reference,recommended_reference,49.80544747081712,3200.0,0.01556420233463035,128,16,1,二进制6T；D6CIM型16项归约、16活动输出通道,对齐128 bit普通写口，完成16 Byte；1024事务覆盖整矩阵,02_sram_dcim/data/results.json#/scenarios/1,CMOS-03; CMOS-07; SDCIM-01; SDCIM-02; SDCIM-03; SDCIM-04; SDCIM-05
02_sram_dcim,SRAM DCIM,long,paired_conditional,24.90272373540856,1600.0,0.01556420233463035,128,16,1,二进制6T；D6CIM型16项归约、16活动输出通道,对齐128 bit普通写口，完成16 Byte；1024事务覆盖整矩阵,02_sram_dcim/data/results.json#/scenarios/2,CMOS-03; CMOS-07; SDCIM-01; SDCIM-02; SDCIM-03; SDCIM-04; SDCIM-05
03_nor_2d,2D NOR,short,paired_conditional,4.901209986215346,0.07968781675226233,61.505135740542194,128,16384,1,binary本地感测＋精确数字归约；非实测模拟CIM宏,整矩阵16384 Byte任意重写：4次sector擦除、64次256 Byte页编程；非任意小字写吞吐,03_nor_2d/data/results.json#/scenarios/0,NOR-01; NOR-02; NOR-04; NOR-05
03_nor_2d,2D NOR,reference,recommended_reference,3.998750390502968,0.0796864679887435,50.18104693845674,128,16384,1,binary本地感测＋精确数字归约；非实测模拟CIM宏,整矩阵16384 Byte任意重写：4次sector擦除、64次256 Byte页编程；非任意小字写吞吐,03_nor_2d/data/results.json#/scenarios/1,NOR-01; NOR-02; NOR-04; NOR-05
03_nor_2d,2D NOR,long,paired_conditional,3.5694366982710544,0.009142797959566778,390.4096660624652,128,16384,1,binary本地感测＋精确数字归约；非实测模拟CIM宏,整矩阵16384 Byte任意重写：4次sector擦除、64次256 Byte页编程；非任意小字写吞吐,03_nor_2d/data/results.json#/scenarios/2,NOR-01; NOR-02; NOR-04; NOR-05
04_nand_3d,3D NAND,short,paired_conditional,0.07654641702966414,0.004570968273392983,16.746214904888088,128,16384,1,SGVC SLC c=1；SL电流积分ACIM；持续同地址重写,16384 Byte整矩阵：1024数据页＋256参考页＋128块擦；每数据页仅16 Byte位片段，8页凑128个INT8权重,04_nand_3d/data/results.json#/main_scenarios/0/rewrite,NAND-01; NAND-02; NAND-03; NAND-04; NAND-05
04_nand_3d,3D NAND,reference,recommended_reference,0.07584367197137849,0.0023270133555214623,32.59271021862383,128,16384,1,SGVC SLC c=1；SL电流积分ACIM；持续同地址重写,16384 Byte整矩阵：1024数据页＋256参考页＋128块擦；每数据页仅16 Byte位片段，8页凑128个INT8权重,04_nand_3d/data/results.json#/main_scenarios/1/rewrite,NAND-01; NAND-02; NAND-03; NAND-04; NAND-05
04_nand_3d,3D NAND,long,paired_conditional,0.07507454667877245,0.0013472032798553212,55.72622023814761,128,16384,1,SGVC SLC c=1；SL电流积分ACIM；持续同地址重写,16384 Byte整矩阵：1024数据页＋256参考页＋128块擦；每数据页仅16 Byte位片段，8页凑128个INT8权重,04_nand_3d/data/results.json#/main_scenarios/2/rewrite,NAND-01; NAND-02; NAND-03; NAND-04; NAND-05
05_rram,RRAM,short,paired_conditional,23.791821561338292,0.33098882912701694,71.88104089219331,128,16,1,HRS/LRS二状态32项ACIM；16-lane两相写验,16 Byte为同输出WL、两个列组各8个完整INT8权重；8批×16cell；互补组选通共1024事务覆盖矩阵,05_rram/data/results.json#/scenarios/0,RRAM-01; RRAM-02; RRAM-03; RRAM-04; RRAM-05; RRAM-06
05_rram,RRAM,reference,recommended_reference,12.48780487804878,0.21926819240783882,56.95219512195122,128,16,1,HRS/LRS二状态32项ACIM；16-lane两相写验,16 Byte为同输出WL、两个列组各8个完整INT8权重；8批×16cell；互补组选通共1024事务覆盖矩阵,05_rram/data/results.json#/scenarios/1,RRAM-01; RRAM-02; RRAM-03; RRAM-04; RRAM-05; RRAM-06
05_rram,RRAM,long,paired_conditional,5.876951331496786,0.10803511141120863,54.398530762167134,128,16,1,HRS/LRS二状态32项ACIM；16-lane两相写验,16 Byte为同输出WL、两个列组各8个完整INT8权重；8批×16cell；互补组选通共1024事务覆盖矩阵,05_rram/data/results.json#/scenarios/2,RRAM-01; RRAM-02; RRAM-03; RRAM-04; RRAM-05; RRAM-06
06_mram,MRAM,short,paired_conditional,99.68847352024922,142.85714285714283,0.6978193146417446,128,8,1,互补2T2MTJ二状态数字路径；两相写＋双支路终验,8 Byte对齐组＝64互补bit对；2048事务覆盖矩阵；先两MTJ置P，再择一AP并验两支路,06_mram/data/results.json#/scenarios/0,MRAM-01; MRAM-03; MRAM-04; MRAM-05; MRAM-06
06_mram,MRAM,reference,recommended_reference,49.80544747081712,84.21052631578948,0.5914396887159533,128,8,1,互补2T2MTJ二状态数字路径；两相写＋双支路终验,8 Byte对齐组＝64互补bit对；2048事务覆盖矩阵；先两MTJ置P，再择一AP并验两支路,06_mram/data/results.json#/scenarios/1,MRAM-01; MRAM-03; MRAM-04; MRAM-05; MRAM-06
06_mram,MRAM,long,paired_conditional,24.90272373540856,61.53846153846153,0.4046692607003891,128,8,1,互补2T2MTJ二状态数字路径；两相写＋双支路终验,8 Byte对齐组＝64互补bit对；2048事务覆盖矩阵；先两MTJ置P，再择一AP并验两支路,06_mram/data/results.json#/scenarios/2,MRAM-01; MRAM-03; MRAM-04; MRAM-05; MRAM-06
