case_id,technology,mode,scenario_id,scenario_type,recommended,rate_unit,payload_unit,B_S,B_R,update_pattern,raw_service_time,effective_service_interval,rho,tau,RI_star,rho_raw,tau_raw,maintenance,feasibility,main_assumptions,key_resources,source_ids,shared_baseline_id,source_result,scenario_parameters
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,short,paired_conditional,False,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":1540,""resident_ns"":2.2}",,83.11688311688312,7272.727272727272,0.011428571428571429,83.11688311688312,7272.727272727272,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、128对真实写驱动；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/scenarios/0,"{""id"":""short"",""label"":""短时隙"",""common_profile"":""short"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":10,""engineering_read_residual_ns"":8,""common_times_ns"":{""input_step"":2,""adc_batch"":10,""digital_tick"":2},""complete_memory_cycle_ns"":2.2,""write_batches"":1,""write_data_beats"":1,""parallel_write_cells"":128,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":10,""total_ns"":640},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":10,""total_ns"":640},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":2,""total_ns"":256},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":2,""total_ns"":4}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":1,""each_ns"":2.2,""total_ns"":2.2}],""replaced_shared_front_ns"":4,""uncollapsed_direct_template_ns"":6.2,""extra_write_handshake_ns"":0},""streaming_dominant"":""reset_input_array_frontend"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,reference,recommended_reference,True,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":3210,""resident_ns"":5.0}",,39.875389408099686,3200.0,0.012461059190031152,39.875389408099686,3200.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、128对真实写驱动；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/scenarios/1,"{""id"":""reference"",""label"":""参考"",""common_profile"":""reference"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":20,""engineering_read_residual_ns"":15,""common_times_ns"":{""input_step"":5,""adc_batch"":20,""digital_tick"":5},""complete_memory_cycle_ns"":5,""write_batches"":1,""write_data_beats"":1,""parallel_write_cells"":128,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":5,""total_ns"":640},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":5,""total_ns"":10}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":1,""each_ns"":5,""total_ns"":5.0}],""replaced_shared_front_ns"":10,""uncollapsed_direct_template_ns"":15,""extra_write_handshake_ns"":0},""streaming_dominant"":""reset_input_array_frontend"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,long,paired_conditional,False,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":7700,""resident_ns"":10.0}",,16.623376623376622,1600.0,0.010389610389610388,16.623376623376622,1600.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、128对真实写驱动；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/scenarios/2,"{""id"":""long"",""label"":""长时隙"",""common_profile"":""long"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":50,""engineering_read_residual_ns"":40,""common_times_ns"":{""input_step"":10,""adc_batch"":50,""digital_tick"":10},""complete_memory_cycle_ns"":10,""write_batches"":1,""write_data_beats"":1,""parallel_write_cells"":128,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":50,""total_ns"":3200},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":50,""total_ns"":3200},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":10,""total_ns"":1280},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":10,""total_ns"":20}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":1,""each_ns"":10,""total_ns"":10.0}],""replaced_shared_front_ns"":20,""uncollapsed_direct_template_ns"":30,""extra_write_handshake_ns"":0},""streaming_dominant"":""reset_input_array_frontend"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,frontend_10,independent_sensitivity,False,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":2570,""resident_ns"":5.0}",,49.80544747081712,3200.0,0.01556420233463035,49.80544747081712,3200.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、128对真实写驱动；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/sensitivities/0,"{""id"":""frontend_10"",""kind"":""frontend_at_fixed_reference_periphery"",""rho_ratio_to_reference"":1.2490272373540856,""common_profile"":""reference"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":10,""engineering_read_residual_ns"":5,""common_times_ns"":{""input_step"":5,""adc_batch"":20,""digital_tick"":5},""complete_memory_cycle_ns"":5,""write_batches"":1,""write_data_beats"":1,""parallel_write_cells"":128,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":10,""total_ns"":640},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":5,""total_ns"":640},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":5,""total_ns"":10}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":1,""each_ns"":5,""total_ns"":5.0}],""replaced_shared_front_ns"":10,""uncollapsed_direct_template_ns"":15,""extra_write_handshake_ns"":0},""streaming_dominant"":""complete_SAR_batch"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,frontend_20,independent_sensitivity,False,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":3210,""resident_ns"":5.0}",,39.875389408099686,3200.0,0.012461059190031152,39.875389408099686,3200.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、128对真实写驱动；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/sensitivities/1,"{""id"":""frontend_20"",""kind"":""frontend_at_fixed_reference_periphery"",""rho_ratio_to_reference"":1.0,""common_profile"":""reference"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":20,""engineering_read_residual_ns"":15,""common_times_ns"":{""input_step"":5,""adc_batch"":20,""digital_tick"":5},""complete_memory_cycle_ns"":5,""write_batches"":1,""write_data_beats"":1,""parallel_write_cells"":128,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":5,""total_ns"":640},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":5,""total_ns"":10}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":1,""each_ns"":5,""total_ns"":5.0}],""replaced_shared_front_ns"":10,""uncollapsed_direct_template_ns"":15,""extra_write_handshake_ns"":0},""streaming_dominant"":""reset_input_array_frontend"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,frontend_50,independent_sensitivity,False,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":5130,""resident_ns"":5.0}",,24.951267056530217,3200.0,0.0077972709551656924,24.951267056530217,3200.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、128对真实写驱动；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/sensitivities/2,"{""id"":""frontend_50"",""kind"":""frontend_at_fixed_reference_periphery"",""rho_ratio_to_reference"":0.6257309941520468,""common_profile"":""reference"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":50,""engineering_read_residual_ns"":45,""common_times_ns"":{""input_step"":5,""adc_batch"":20,""digital_tick"":5},""complete_memory_cycle_ns"":5,""write_batches"":1,""write_data_beats"":1,""parallel_write_cells"":128,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":50,""total_ns"":3200},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":5,""total_ns"":640},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":5,""total_ns"":10}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":1,""each_ns"":5,""total_ns"":5.0}],""replaced_shared_front_ns"":10,""uncollapsed_direct_template_ns"":15,""extra_write_handshake_ns"":0},""streaming_dominant"":""reset_input_array_frontend"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
01_sram_acim,SRAM ACIM,二进制9T1C电荷域；128行求和；8位平面并行,64_write_drivers,resource_or_organization_comparison,False,MB/s,Byte,128,16,同一输入行的16个输出权重，对齐16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":3210,""resident_ns"":10.0}",,39.875389408099686,1600.0,0.024922118380062305,39.875389408099686,1600.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,参考20 ns合并前端与20 ns SAR各占读服务39.9%；普通写5 ns完整周期与DCIM同源，不再加控制拍,128 SAR、16条两拍重构通道、64对活动写驱动（两个完整写槽）；沿用R0求值组织，前端合并预算,"[""CMOS-02"",""CMOS-03"",""CMOS-07"",""SACIM-01"",""SACIM-03"",""SACIM-05""]",shared_baseline,01_sram_acim/data/results.json#/sensitivities/3,"{""id"":""64_write_drivers"",""kind"":""actual_write_resource_comparison"",""common_profile"":""reference"",""mode"":""binary_charge_domain_approximate_BPBS"",""mapping_id"":""8_planes_128x128_R0"",""counts"":{""input_slices"":8,""row_groups"":1,""weight_groups"":1,""base_combinations"":8,""evaluations"":64,""adc_batches"":64,""reconstruction_rounds"":64,""digital_ticks"":128,""useful_scalar_conversions"":8192,""adc_total"":128,""max_batch_code_slots"":128,""max_hold_window_ns"":0},""frontend_complete_ns"":20,""engineering_read_residual_ns"":15,""common_times_ns"":{""input_step"":5,""adc_batch"":20,""digital_tick"":5},""complete_memory_cycle_ns"":5,""write_batches"":2,""write_data_beats"":1,""parallel_write_cells"":64,""hold_extra_ns"":0,""stage_coverage"":{""streaming"":[{""stage"":""reset_input_array_frontend"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""complete_SAR_batch"",""count"":64,""each_ns"":20,""total_ns"":1280},{""stage"":""digital_reconstruction"",""count"":128,""each_ns"":5,""total_ns"":640},{""stage"":""input_capture_output_commit"",""count"":2,""each_ns"":5,""total_ns"":10}],""resident"":[{""stage"":""complete_synchronous_ordinary_write"",""count"":2,""each_ns"":5,""total_ns"":10.0}],""replaced_shared_front_ns"":10,""uncollapsed_direct_template_ns"":20,""extra_write_handshake_ns"":0},""streaming_dominant"":""reset_input_array_frontend"",""resident_dominant"":""ordinary synchronous write"",""sources"":[""E01"",""E02"",""E04"",""E06"",""E07"",""E09"",""E10""]}"
02_sram_dcim,SRAM DCIM,二进制6T；D6CIM型16项归约、16活动输出通道,short,paired_conditional,False,MB/s,Byte,128,16,对齐128 bit普通写口，完成16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":2205.6,""resident_ns"":2.2}",,58.034095030830606,7272.727272727272,0.00797968806673921,58.034095030830606,7272.727272727272,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,512个完整MAC槽、64次行组选择；参考5 ns计算槽与5 ns普通写槽独立，静态连接不另付重读,8个容量分片、总128条/活动16条HCA-BFA；R0的32项改16项；完整MAC槽覆盖静态读/保持,"[""CMOS-03"",""CMOS-07"",""SDCIM-01"",""SDCIM-02"",""SDCIM-03"",""SDCIM-04"",""SDCIM-05""]",shared_baseline,02_sram_dcim/data/results.json#/scenarios/0,"{""id"":""short"",""label"":""短时隙"",""common_profile"":""short"",""inputs"":{""common_T_D_ns"":2,""complete_compute_round_ns"":4.3,""complete_memory_cycle_ns"":2.2,""extra_physical_read_ns"":0},""counts"":{""input_slices"":8,""weight_groups"":1,""row_groups"":8,""output_groups"":8,""compute_rounds"":512,""read_rounds"":512,""digital_ticks"":512},""physical_static_row_group_activations"":64,""write_batches"":1,""write_data_beats"":1,""stage_coverage"":{""streaming"":[{""stage"":""whole_vector_capture"",""count"":1,""duration_each_ns"":2,""coverage"":""1024-bit local input latch and schedule admission""},{""stage"":""complete_MAC_round"",""count"":512,""duration_each_ns"":4.3,""coverage"":""static SRAM read/hold, NOR multiplication, HCA reduction, BFA sign/shift/accumulation""},{""stage"":""whole_vector_commit"",""count"":1,""duration_each_ns"":2,""coverage"":""all128 results ready in24-bit registers; sign extension wiring""},{""stage"":""extra_read_or_ADC"",""count"":0,""duration_each_ns"":0,""coverage"":""read already included; no ADC/DAC""}],""resident"":[{""stage"":""complete_synchronous_memory_cycle"",""count"":1,""duration_each_ns"":2.2,""coverage"":""command/address/all128 data captured; decode, BL/WL write, flip, recovery; compute-ready at next edge""},{""stage"":""additional_task_handshake"",""count"":0,""duration_each_ns"":0,""coverage"":""none assumed; shared front replaced by covered macro cycle""}],""replaced_shared_front_ns"":4,""direct_template_without_replacement_ns"":6.2}}"
02_sram_dcim,SRAM DCIM,二进制6T；D6CIM型16项归约、16活动输出通道,reference,recommended_reference,True,MB/s,Byte,128,16,对齐128 bit普通写口，完成16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":2570.0,""resident_ns"":5.0}",,49.80544747081712,3200.0,0.01556420233463035,49.80544747081712,3200.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,512个完整MAC槽、64次行组选择；参考5 ns计算槽与5 ns普通写槽独立，静态连接不另付重读,8个容量分片、总128条/活动16条HCA-BFA；R0的32项改16项；完整MAC槽覆盖静态读/保持,"[""CMOS-03"",""CMOS-07"",""SDCIM-01"",""SDCIM-02"",""SDCIM-03"",""SDCIM-04"",""SDCIM-05""]",shared_baseline,02_sram_dcim/data/results.json#/scenarios/1,"{""id"":""reference"",""label"":""参考"",""common_profile"":""reference"",""inputs"":{""common_T_D_ns"":5,""complete_compute_round_ns"":5,""complete_memory_cycle_ns"":5,""extra_physical_read_ns"":0},""counts"":{""input_slices"":8,""weight_groups"":1,""row_groups"":8,""output_groups"":8,""compute_rounds"":512,""read_rounds"":512,""digital_ticks"":512},""physical_static_row_group_activations"":64,""write_batches"":1,""write_data_beats"":1,""stage_coverage"":{""streaming"":[{""stage"":""whole_vector_capture"",""count"":1,""duration_each_ns"":5,""coverage"":""1024-bit local input latch and schedule admission""},{""stage"":""complete_MAC_round"",""count"":512,""duration_each_ns"":5,""coverage"":""static SRAM read/hold, NOR multiplication, HCA reduction, BFA sign/shift/accumulation""},{""stage"":""whole_vector_commit"",""count"":1,""duration_each_ns"":5,""coverage"":""all128 results ready in24-bit registers; sign extension wiring""},{""stage"":""extra_read_or_ADC"",""count"":0,""duration_each_ns"":0,""coverage"":""read already included; no ADC/DAC""}],""resident"":[{""stage"":""complete_synchronous_memory_cycle"",""count"":1,""duration_each_ns"":5,""coverage"":""command/address/all128 data captured; decode, BL/WL write, flip, recovery; compute-ready at next edge""},{""stage"":""additional_task_handshake"",""count"":0,""duration_each_ns"":0,""coverage"":""none assumed; shared front replaced by covered macro cycle""}],""replaced_shared_front_ns"":10,""direct_template_without_replacement_ns"":15}}"
02_sram_dcim,SRAM DCIM,二进制6T；D6CIM型16项归约、16活动输出通道,long,paired_conditional,False,MB/s,Byte,128,16,对齐128 bit普通写口，完成16 Byte；1024事务覆盖整矩阵,"{""streaming_ns"":5140.0,""resident_ns"":10.0}",,24.90272373540856,1600.0,0.01556420233463035,24.90272373540856,1600.0,"{""periodic"":false,""included_in_raw"":""无周期维护；普通SRAM需持续供电""}",conditional_feasible,512个完整MAC槽、64次行组选择；参考5 ns计算槽与5 ns普通写槽独立，静态连接不另付重读,8个容量分片、总128条/活动16条HCA-BFA；R0的32项改16项；完整MAC槽覆盖静态读/保持,"[""CMOS-03"",""CMOS-07"",""SDCIM-01"",""SDCIM-02"",""SDCIM-03"",""SDCIM-04"",""SDCIM-05""]",shared_baseline,02_sram_dcim/data/results.json#/scenarios/2,"{""id"":""long"",""label"":""长时隙"",""common_profile"":""long"",""inputs"":{""common_T_D_ns"":10,""complete_compute_round_ns"":10,""complete_memory_cycle_ns"":10,""extra_physical_read_ns"":0},""counts"":{""input_slices"":8,""weight_groups"":1,""row_groups"":8,""output_groups"":8,""compute_rounds"":512,""read_rounds"":512,""digital_ticks"":512},""physical_static_row_group_activations"":64,""write_batches"":1,""write_data_beats"":1,""stage_coverage"":{""streaming"":[{""stage"":""whole_vector_capture"",""count"":1,""duration_each_ns"":10,""coverage"":""1024-bit local input latch and schedule admission""},{""stage"":""complete_MAC_round"",""count"":512,""duration_each_ns"":10,""coverage"":""static SRAM read/hold, NOR multiplication, HCA reduction, BFA sign/shift/accumulation""},{""stage"":""whole_vector_commit"",""count"":1,""duration_each_ns"":10,""coverage"":""all128 results ready in24-bit registers; sign extension wiring""},{""stage"":""extra_read_or_ADC"",""count"":0,""duration_each_ns"":0,""coverage"":""read already included; no ADC/DAC""}],""resident"":[{""stage"":""complete_synchronous_memory_cycle"",""count"":1,""duration_each_ns"":10,""coverage"":""command/address/all128 data captured; decode, BL/WL write, flip, recovery; compute-ready at next edge""},{""stage"":""additional_task_handshake"",""count"":0,""duration_each_ns"":0,""coverage"":""none assumed; shared front replaced by covered macro cycle""}],""replaced_shared_front_ns"":20,""direct_template_without_replacement_ns"":30}}"
