case_id,component,boundary,Q_S_Byte,Q_R_Byte,RI,tile_evaluations,valid_resident_Byte,allocated_tile_Byte,resident_tiles
qwen35_2b/qkv_projection/one_token,total,ports,81920,0,infinity,640,10485760,10485760,640
qwen35_2b/qkv_projection/one_token,total,operator,2048,0,infinity,,10485760,10485760,640
qwen35_2b/qkv_projection/one_token,Q,ports,32768,0,infinity,256,4194304,4194304,256
qwen35_2b/qkv_projection/one_token,Q,operator,2048,0,infinity,,4194304,4194304,256
qwen35_2b/qkv_projection/one_token,G,ports,32768,0,infinity,256,4194304,4194304,256
qwen35_2b/qkv_projection/one_token,G,operator,2048,0,infinity,,4194304,4194304,256
qwen35_2b/qkv_projection/one_token,K,ports,8192,0,infinity,64,1048576,1048576,64
qwen35_2b/qkv_projection/one_token,K,operator,2048,0,infinity,,1048576,1048576,64
qwen35_2b/qkv_projection/one_token,V,ports,8192,0,infinity,64,1048576,1048576,64
qwen35_2b/qkv_projection/one_token,V,operator,2048,0,infinity,,1048576,1048576,64
ministral3_8b_2512/qkv_projection/one_token,total,ports,196608,0,infinity,1536,25165824,25165824,1536
ministral3_8b_2512/qkv_projection/one_token,total,operator,4096,0,infinity,,25165824,25165824,1536
ministral3_8b_2512/qkv_projection/one_token,Q,ports,131072,0,infinity,1024,16777216,16777216,1024
ministral3_8b_2512/qkv_projection/one_token,Q,operator,4096,0,infinity,,16777216,16777216,1024
ministral3_8b_2512/qkv_projection/one_token,K,ports,32768,0,infinity,256,4194304,4194304,256
ministral3_8b_2512/qkv_projection/one_token,K,operator,4096,0,infinity,,4194304,4194304,256
ministral3_8b_2512/qkv_projection/one_token,V,ports,32768,0,infinity,256,4194304,4194304,256
ministral3_8b_2512/qkv_projection/one_token,V,operator,4096,0,infinity,,4194304,4194304,256
qwen36_35b_a3b/qkv_projection/one_token,total,ports,147456,0,infinity,1152,18874368,18874368,1152
qwen36_35b_a3b/qkv_projection/one_token,total,operator,2048,0,infinity,,18874368,18874368,1152
qwen36_35b_a3b/qkv_projection/one_token,Q,ports,65536,0,infinity,512,8388608,8388608,512
qwen36_35b_a3b/qkv_projection/one_token,Q,operator,2048,0,infinity,,8388608,8388608,512
qwen36_35b_a3b/qkv_projection/one_token,G,ports,65536,0,infinity,512,8388608,8388608,512
qwen36_35b_a3b/qkv_projection/one_token,G,operator,2048,0,infinity,,8388608,8388608,512
qwen36_35b_a3b/qkv_projection/one_token,K,ports,8192,0,infinity,64,1048576,1048576,64
qwen36_35b_a3b/qkv_projection/one_token,K,operator,2048,0,infinity,,1048576,1048576,64
qwen36_35b_a3b/qkv_projection/one_token,V,ports,8192,0,infinity,64,1048576,1048576,64
qwen36_35b_a3b/qkv_projection/one_token,V,operator,2048,0,infinity,,1048576,1048576,64
hy3_295b/qkv_projection/one_token,total,ports,327680,0,infinity,2560,41943040,41943040,2560
hy3_295b/qkv_projection/one_token,total,operator,4096,0,infinity,,41943040,41943040,2560
hy3_295b/qkv_projection/one_token,Q,ports,262144,0,infinity,2048,33554432,33554432,2048
hy3_295b/qkv_projection/one_token,Q,operator,4096,0,infinity,,33554432,33554432,2048
hy3_295b/qkv_projection/one_token,K,ports,32768,0,infinity,256,4194304,4194304,256
hy3_295b/qkv_projection/one_token,K,operator,4096,0,infinity,,4194304,4194304,256
hy3_295b/qkv_projection/one_token,V,ports,32768,0,infinity,256,4194304,4194304,256
hy3_295b/qkv_projection/one_token,V,operator,4096,0,infinity,,4194304,4194304,256
ling_1t/qkv_projection/one_token,total,ports,655360,0,infinity,5120,83886080,83886080,5120
ling_1t/qkv_projection/one_token,total,operator,8192,0,infinity,,83886080,83886080,5120
ling_1t/qkv_projection/one_token,Q,ports,524288,0,infinity,4096,67108864,67108864,4096
ling_1t/qkv_projection/one_token,Q,operator,8192,0,infinity,,67108864,67108864,4096
ling_1t/qkv_projection/one_token,K,ports,65536,0,infinity,512,8388608,8388608,512
ling_1t/qkv_projection/one_token,K,operator,8192,0,infinity,,8388608,8388608,512
ling_1t/qkv_projection/one_token,V,ports,65536,0,infinity,512,8388608,8388608,512
ling_1t/qkv_projection/one_token,V,operator,8192,0,infinity,,8388608,8388608,512
mimo_v25_pro/qkv_projection/one_token,total,ports,1302528,0,infinity,10176,166723584,166723584,10176
mimo_v25_pro/qkv_projection/one_token,total,operator,6144,0,infinity,,166723584,166723584,10176
mimo_v25_pro/qkv_projection/one_token,Q,ports,1179648,0,infinity,9216,150994944,150994944,9216
mimo_v25_pro/qkv_projection/one_token,Q,operator,6144,0,infinity,,150994944,150994944,9216
mimo_v25_pro/qkv_projection/one_token,K,ports,73728,0,infinity,576,9437184,9437184,576
mimo_v25_pro/qkv_projection/one_token,K,operator,6144,0,infinity,,9437184,9437184,576
mimo_v25_pro/qkv_projection/one_token,V,ports,49152,0,infinity,384,6291456,6291456,384
mimo_v25_pro/qkv_projection/one_token,V,operator,6144,0,infinity,,6291456,6291456,384
