case_id,component,boundary,Q_S_Byte_exact,Q_R_Byte_exact,RI_exact,tile_evaluations,valid_resident_Byte,allocated_tile_Byte,resident_tiles
qwen35_2b/ffn_or_moe/8,total,ports,2359296,37748736,1/16,18432,37748736,37748736,2304
qwen35_2b/ffn_or_moe/8,total,operator,65536,37748736,1/576,,37748736,37748736,2304
qwen35_2b/ffn_or_moe/8,gate,ports,786432,12582912,1/16,6144,12582912,12582912,768
qwen35_2b/ffn_or_moe/8,gate,operator,16384,12582912,1/768,,12582912,12582912,768
qwen35_2b/ffn_or_moe/8,up,ports,786432,12582912,1/16,6144,12582912,12582912,768
qwen35_2b/ffn_or_moe/8,up,operator,16384,12582912,1/768,,12582912,12582912,768
qwen35_2b/ffn_or_moe/8,down,ports,786432,12582912,1/16,6144,12582912,12582912,768
qwen35_2b/ffn_or_moe/8,down,operator,49152,12582912,1/256,,12582912,12582912,768
qwen35_2b/ffn_or_moe/64,total,ports,18874368,37748736,1/2,147456,37748736,37748736,2304
qwen35_2b/ffn_or_moe/64,total,operator,524288,37748736,1/72,,37748736,37748736,2304
qwen35_2b/ffn_or_moe/64,gate,ports,6291456,12582912,1/2,49152,12582912,12582912,768
qwen35_2b/ffn_or_moe/64,gate,operator,131072,12582912,1/96,,12582912,12582912,768
qwen35_2b/ffn_or_moe/64,up,ports,6291456,12582912,1/2,49152,12582912,12582912,768
qwen35_2b/ffn_or_moe/64,up,operator,131072,12582912,1/96,,12582912,12582912,768
qwen35_2b/ffn_or_moe/64,down,ports,6291456,12582912,1/2,49152,12582912,12582912,768
qwen35_2b/ffn_or_moe/64,down,operator,393216,12582912,1/32,,12582912,12582912,768
qwen35_2b/ffn_or_moe/512,total,ports,150994944,37748736,4,1179648,37748736,37748736,2304
qwen35_2b/ffn_or_moe/512,total,operator,4194304,37748736,1/9,,37748736,37748736,2304
qwen35_2b/ffn_or_moe/512,gate,ports,50331648,12582912,4,393216,12582912,12582912,768
qwen35_2b/ffn_or_moe/512,gate,operator,1048576,12582912,1/12,,12582912,12582912,768
qwen35_2b/ffn_or_moe/512,up,ports,50331648,12582912,4,393216,12582912,12582912,768
qwen35_2b/ffn_or_moe/512,up,operator,1048576,12582912,1/12,,12582912,12582912,768
qwen35_2b/ffn_or_moe/512,down,ports,50331648,12582912,4,393216,12582912,12582912,768
qwen35_2b/ffn_or_moe/512,down,operator,3145728,12582912,1/4,,12582912,12582912,768
ministral3_8b_2512/ffn_or_moe/8,total,ports,11010048,176160768,1/16,86016,176160768,176160768,10752
ministral3_8b_2512/ffn_or_moe/8,total,operator,147456,176160768,3/3584,,176160768,176160768,10752
ministral3_8b_2512/ffn_or_moe/8,gate,ports,3670016,58720256,1/16,28672,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/8,gate,operator,32768,58720256,1/1792,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/8,up,ports,3670016,58720256,1/16,28672,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/8,up,operator,32768,58720256,1/1792,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/8,down,ports,3670016,58720256,1/16,28672,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/8,down,operator,114688,58720256,1/512,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/64,total,ports,88080384,176160768,1/2,688128,176160768,176160768,10752
ministral3_8b_2512/ffn_or_moe/64,total,operator,1179648,176160768,3/448,,176160768,176160768,10752
ministral3_8b_2512/ffn_or_moe/64,gate,ports,29360128,58720256,1/2,229376,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/64,gate,operator,262144,58720256,1/224,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/64,up,ports,29360128,58720256,1/2,229376,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/64,up,operator,262144,58720256,1/224,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/64,down,ports,29360128,58720256,1/2,229376,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/64,down,operator,917504,58720256,1/64,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/512,total,ports,704643072,176160768,4,5505024,176160768,176160768,10752
ministral3_8b_2512/ffn_or_moe/512,total,operator,9437184,176160768,3/56,,176160768,176160768,10752
ministral3_8b_2512/ffn_or_moe/512,gate,ports,234881024,58720256,4,1835008,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/512,gate,operator,2097152,58720256,1/28,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/512,up,ports,234881024,58720256,4,1835008,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/512,up,operator,2097152,58720256,1/28,,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/512,down,ports,234881024,58720256,4,1835008,58720256,58720256,3584
ministral3_8b_2512/ffn_or_moe/512,down,operator,7340032,58720256,1/8,,58720256,58720256,3584
qwen36_35b_a3b/ffn_or_moe/8,total,ports,196608,3145728,1/16,1536,3145728,3145728,192
qwen36_35b_a3b/ffn_or_moe/8,total,operator,20480,3145728,5/768,,3145728,3145728,192
qwen36_35b_a3b/ffn_or_moe/8,gate,ports,65536,1048576,1/16,512,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/8,gate,operator,16384,1048576,1/64,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/8,up,ports,65536,1048576,1/16,512,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/8,up,operator,16384,1048576,1/64,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/8,down,ports,65536,1048576,1/16,512,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/8,down,operator,4096,1048576,1/256,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/64,total,ports,1572864,3145728,1/2,12288,3145728,3145728,192
qwen36_35b_a3b/ffn_or_moe/64,total,operator,163840,3145728,5/96,,3145728,3145728,192
qwen36_35b_a3b/ffn_or_moe/64,gate,ports,524288,1048576,1/2,4096,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/64,gate,operator,131072,1048576,1/8,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/64,up,ports,524288,1048576,1/2,4096,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/64,up,operator,131072,1048576,1/8,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/64,down,ports,524288,1048576,1/2,4096,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/64,down,operator,32768,1048576,1/32,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/512,total,ports,12582912,3145728,4,98304,3145728,3145728,192
qwen36_35b_a3b/ffn_or_moe/512,total,operator,1310720,3145728,5/12,,3145728,3145728,192
qwen36_35b_a3b/ffn_or_moe/512,gate,ports,4194304,1048576,4,32768,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/512,gate,operator,1048576,1048576,1,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/512,up,ports,4194304,1048576,4,32768,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/512,up,operator,1048576,1048576,1,,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/512,down,ports,4194304,1048576,4,32768,1048576,1048576,64
qwen36_35b_a3b/ffn_or_moe/512,down,operator,262144,1048576,1/4,,1048576,1048576,64
hy3_295b/ffn_or_moe/8,total,ports,1179648,18874368,1/16,9216,18874368,18874368,1152
hy3_295b/ffn_or_moe/8,total,operator,45056,18874368,11/4608,,18874368,18874368,1152
hy3_295b/ffn_or_moe/8,gate,ports,393216,6291456,1/16,3072,6291456,6291456,384
hy3_295b/ffn_or_moe/8,gate,operator,32768,6291456,1/192,,6291456,6291456,384
hy3_295b/ffn_or_moe/8,up,ports,393216,6291456,1/16,3072,6291456,6291456,384
hy3_295b/ffn_or_moe/8,up,operator,32768,6291456,1/192,,6291456,6291456,384
hy3_295b/ffn_or_moe/8,down,ports,393216,6291456,1/16,3072,6291456,6291456,384
hy3_295b/ffn_or_moe/8,down,operator,12288,6291456,1/512,,6291456,6291456,384
hy3_295b/ffn_or_moe/64,total,ports,9437184,18874368,1/2,73728,18874368,18874368,1152
hy3_295b/ffn_or_moe/64,total,operator,360448,18874368,11/576,,18874368,18874368,1152
hy3_295b/ffn_or_moe/64,gate,ports,3145728,6291456,1/2,24576,6291456,6291456,384
hy3_295b/ffn_or_moe/64,gate,operator,262144,6291456,1/24,,6291456,6291456,384
hy3_295b/ffn_or_moe/64,up,ports,3145728,6291456,1/2,24576,6291456,6291456,384
hy3_295b/ffn_or_moe/64,up,operator,262144,6291456,1/24,,6291456,6291456,384
hy3_295b/ffn_or_moe/64,down,ports,3145728,6291456,1/2,24576,6291456,6291456,384
hy3_295b/ffn_or_moe/64,down,operator,98304,6291456,1/64,,6291456,6291456,384
hy3_295b/ffn_or_moe/512,total,ports,75497472,18874368,4,589824,18874368,18874368,1152
hy3_295b/ffn_or_moe/512,total,operator,2883584,18874368,11/72,,18874368,18874368,1152
hy3_295b/ffn_or_moe/512,gate,ports,25165824,6291456,4,196608,6291456,6291456,384
hy3_295b/ffn_or_moe/512,gate,operator,2097152,6291456,1/3,,6291456,6291456,384
hy3_295b/ffn_or_moe/512,up,ports,25165824,6291456,4,196608,6291456,6291456,384
hy3_295b/ffn_or_moe/512,up,operator,2097152,6291456,1/3,,6291456,6291456,384
hy3_295b/ffn_or_moe/512,down,ports,25165824,6291456,4,196608,6291456,6291456,384
hy3_295b/ffn_or_moe/512,down,operator,786432,6291456,1/8,,6291456,6291456,384
ling_1t/ffn_or_moe/8,total,ports,3145728,50331648,1/16,24576,50331648,50331648,3072
ling_1t/ffn_or_moe/8,total,operator,81920,50331648,5/3072,,50331648,50331648,3072
ling_1t/ffn_or_moe/8,gate,ports,1048576,16777216,1/16,8192,16777216,16777216,1024
ling_1t/ffn_or_moe/8,gate,operator,65536,16777216,1/256,,16777216,16777216,1024
ling_1t/ffn_or_moe/8,up,ports,1048576,16777216,1/16,8192,16777216,16777216,1024
ling_1t/ffn_or_moe/8,up,operator,65536,16777216,1/256,,16777216,16777216,1024
ling_1t/ffn_or_moe/8,down,ports,1048576,16777216,1/16,8192,16777216,16777216,1024
ling_1t/ffn_or_moe/8,down,operator,16384,16777216,1/1024,,16777216,16777216,1024
ling_1t/ffn_or_moe/64,total,ports,25165824,50331648,1/2,196608,50331648,50331648,3072
ling_1t/ffn_or_moe/64,total,operator,655360,50331648,5/384,,50331648,50331648,3072
ling_1t/ffn_or_moe/64,gate,ports,8388608,16777216,1/2,65536,16777216,16777216,1024
ling_1t/ffn_or_moe/64,gate,operator,524288,16777216,1/32,,16777216,16777216,1024
ling_1t/ffn_or_moe/64,up,ports,8388608,16777216,1/2,65536,16777216,16777216,1024
ling_1t/ffn_or_moe/64,up,operator,524288,16777216,1/32,,16777216,16777216,1024
ling_1t/ffn_or_moe/64,down,ports,8388608,16777216,1/2,65536,16777216,16777216,1024
ling_1t/ffn_or_moe/64,down,operator,131072,16777216,1/128,,16777216,16777216,1024
ling_1t/ffn_or_moe/512,total,ports,201326592,50331648,4,1572864,50331648,50331648,3072
ling_1t/ffn_or_moe/512,total,operator,5242880,50331648,5/48,,50331648,50331648,3072
ling_1t/ffn_or_moe/512,gate,ports,67108864,16777216,4,524288,16777216,16777216,1024
ling_1t/ffn_or_moe/512,gate,operator,4194304,16777216,1/4,,16777216,16777216,1024
ling_1t/ffn_or_moe/512,up,ports,67108864,16777216,4,524288,16777216,16777216,1024
ling_1t/ffn_or_moe/512,up,operator,4194304,16777216,1/4,,16777216,16777216,1024
ling_1t/ffn_or_moe/512,down,ports,67108864,16777216,4,524288,16777216,16777216,1024
ling_1t/ffn_or_moe/512,down,operator,1048576,16777216,1/16,,16777216,16777216,1024
mimo_v25_pro/ffn_or_moe/8,total,ports,2359296,37748736,1/16,18432,37748736,37748736,2304
mimo_v25_pro/ffn_or_moe/8,total,operator,65536,37748736,1/576,,37748736,37748736,2304
mimo_v25_pro/ffn_or_moe/8,gate,ports,786432,12582912,1/16,6144,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/8,gate,operator,49152,12582912,1/256,,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/8,up,ports,786432,12582912,1/16,6144,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/8,up,operator,49152,12582912,1/256,,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/8,down,ports,786432,12582912,1/16,6144,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/8,down,operator,16384,12582912,1/768,,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/64,total,ports,18874368,37748736,1/2,147456,37748736,37748736,2304
mimo_v25_pro/ffn_or_moe/64,total,operator,524288,37748736,1/72,,37748736,37748736,2304
mimo_v25_pro/ffn_or_moe/64,gate,ports,6291456,12582912,1/2,49152,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/64,gate,operator,393216,12582912,1/32,,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/64,up,ports,6291456,12582912,1/2,49152,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/64,up,operator,393216,12582912,1/32,,12582912,12582912,768
mimo_v25_pro/ffn_or_moe/64,down,ports,6291456,12582912,1/2,49152,12582912,12582912,768
