case_id,component,boundary,Q_S_Byte,Q_R_Byte,RI,tile_evaluations,final_valid_Byte,allocated_Byte
qwen35_2b/attention_prefill/1024,total,ports,17833984,1048576,2177/128,147456,1048576,1048576
qwen35_2b/attention_prefill/1024,total,operator,6295552,1048576,1537/256,None,1048576,1048576
qwen35_2b/attention_prefill/1024,QK,ports,9437184,524288,18,73728,524288,524288
qwen35_2b/attention_prefill/1024,QK,operator,2097152,524288,4,None,524288,524288
qwen35_2b/attention_prefill/1024,AV,ports,8396800,524288,1025/64,73728,524288,524288
qwen35_2b/attention_prefill/1024,AV,operator,4198400,524288,1025/128,None,524288,524288
qwen35_2b/attention_prefill/16384,total,ports,4311875584,16777216,32897/128,33816576,16777216,16777216
qwen35_2b/attention_prefill/16384,total,operator,1107361792,16777216,16897/256,None,16777216,16777216
qwen35_2b/attention_prefill/16384,QK,ports,2164260864,8388608,258,16908288,8388608,8388608
qwen35_2b/attention_prefill/16384,QK,operator,33554432,8388608,4,None,8388608,8388608
qwen35_2b/attention_prefill/16384,AV,ports,2147614720,8388608,16385/64,16908288,8388608,8388608
qwen35_2b/attention_prefill/16384,AV,operator,1073807360,8388608,16385/128,None,8388608,8388608
qwen35_2b/attention_prefill/131072,total,ports,275013173248,134217728,262273/128,2149580800,134217728,134217728
qwen35_2b/attention_prefill/131072,total,operator,68988436480,134217728,131585/256,None,134217728,134217728
qwen35_2b/attention_prefill/131072,QK,ports,137573171200,67108864,2050,1074790400,67108864,67108864
qwen35_2b/attention_prefill/131072,QK,operator,268435456,67108864,4,None,67108864,67108864
qwen35_2b/attention_prefill/131072,AV,ports,137440002048,67108864,131073/64,1074790400,67108864,67108864
qwen35_2b/attention_prefill/131072,AV,operator,68720001024,67108864,131073/128,None,67108864,67108864
qwen35_2b/attention_decode/1024,total,ports,32768,1024,32,256,1048576,1048576
qwen35_2b/attention_decode/1024,total,operator,10240,1024,10,None,1048576,1048576
qwen35_2b/attention_decode/1024,QK,ports,16384,512,32,128,524288,524288
qwen35_2b/attention_decode/1024,QK,operator,2048,512,4,None,524288,524288
qwen35_2b/attention_decode/1024,AV,ports,16384,512,32,128,524288,524288
qwen35_2b/attention_decode/1024,AV,operator,8192,512,16,None,524288,524288
qwen35_2b/attention_decode/16384,total,ports,524288,1024,512,4096,16777216,16777216
qwen35_2b/attention_decode/16384,total,operator,133120,1024,130,None,16777216,16777216
qwen35_2b/attention_decode/16384,QK,ports,262144,512,512,2048,8388608,8388608
qwen35_2b/attention_decode/16384,QK,operator,2048,512,4,None,8388608,8388608
qwen35_2b/attention_decode/16384,AV,ports,262144,512,512,2048,8388608,8388608
qwen35_2b/attention_decode/16384,AV,operator,131072,512,256,None,8388608,8388608
qwen35_2b/attention_decode/131072,total,ports,4194304,1024,4096,32768,134217728,134217728
qwen35_2b/attention_decode/131072,total,operator,1050624,1024,1026,None,134217728,134217728
qwen35_2b/attention_decode/131072,QK,ports,2097152,512,4096,16384,67108864,67108864
qwen35_2b/attention_decode/131072,QK,operator,2048,512,4,None,67108864,67108864
qwen35_2b/attention_decode/131072,AV,ports,2097152,512,4096,16384,67108864,67108864
qwen35_2b/attention_decode/131072,AV,operator,1048576,512,2048,None,67108864,67108864
ministral3_8b_2512/attention_prefill/1024,total,ports,35667968,2097152,2177/128,294912,2097152,2097152
ministral3_8b_2512/attention_prefill/1024,total,operator,20987904,2097152,1281/128,None,2097152,2097152
ministral3_8b_2512/attention_prefill/1024,QK,ports,18874368,1048576,18,147456,1048576,1048576
ministral3_8b_2512/attention_prefill/1024,QK,operator,4194304,1048576,4,None,1048576,1048576
ministral3_8b_2512/attention_prefill/1024,AV,ports,16793600,1048576,1025/64,147456,1048576,1048576
ministral3_8b_2512/attention_prefill/1024,AV,operator,16793600,1048576,1025/64,None,1048576,1048576
ministral3_8b_2512/attention_prefill/16384,total,ports,8623751168,33554432,32897/128,67633152,33554432,33554432
ministral3_8b_2512/attention_prefill/16384,total,operator,4362338304,33554432,16641/128,None,33554432,33554432
ministral3_8b_2512/attention_prefill/16384,QK,ports,4328521728,16777216,258,33816576,16777216,16777216
ministral3_8b_2512/attention_prefill/16384,QK,operator,67108864,16777216,4,None,16777216,16777216
ministral3_8b_2512/attention_prefill/16384,AV,ports,4295229440,16777216,16385/64,33816576,16777216,16777216
ministral3_8b_2512/attention_prefill/16384,AV,operator,4295229440,16777216,16385/64,None,16777216,16777216
ministral3_8b_2512/attention_prefill/131072,total,ports,550026346496,268435456,262273/128,4299161600,268435456,268435456
ministral3_8b_2512/attention_prefill/131072,total,operator,275416875008,268435456,131329/128,None,268435456,268435456
