case_id,model_id,model_revision,selected_layer,row,B,L,component,boundary,Q_S,Q_R,RI,tile_evaluations,matrix_N_K_per_copy,copies,valid_resident_bytes,allocated_tile_bytes,resident_tiles,operator_shared_input_overlap_removed,initial_KV_tokens,final_KV_tokens,initial_valid_resident_bytes,appended_tokens,append,directory,results_path,results_sha256,delivery_revision,delivery_sha256,json_pointer
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,total,ports,81920,0,∞,640,,,10485760,10485760,640,6144,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/ports
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,total,operator,2048,0,∞,,,,10485760,10485760,640,6144,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/operator
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,Q,ports,32768,0,∞,256,"[2048,2048]",1,4194304,4194304,256,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/Q/ports
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,Q,operator,2048,0,∞,,"[2048,2048]",1,4194304,4194304,256,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/Q/operator
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,G,ports,32768,0,∞,256,"[2048,2048]",1,4194304,4194304,256,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/G/ports
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,G,operator,2048,0,∞,,"[2048,2048]",1,4194304,4194304,256,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/G/operator
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,K,ports,8192,0,∞,64,"[512,2048]",1,1048576,1048576,64,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/K/ports
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,K,operator,2048,0,∞,,"[512,2048]",1,1048576,1048576,64,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/K/operator
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,V,ports,8192,0,∞,64,"[512,2048]",1,1048576,1048576,64,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/V/ports
qwen35_2b/qkv_projection/one_token,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,qkv_projection,,,V,operator,2048,0,∞,,"[512,2048]",1,1048576,1048576,64,,,,,,,table_IIb/01_qkv_projection,table_IIb/01_qkv_projection/data/results.json,c342f0781f396df3d18d6bfcc94bdef95c3846f9985a8ca0e038297f0ef69a27,2,6377df5399a9a6333fa9a7374c93047504437936cac7d1b596046aba82eb1297,/cases/0/result/parts/V/operator
