case_id,component,boundary,Q_S_Byte_exact,Q_R_Byte_exact,RI_exact,tile_evaluations,final_valid_resident_Byte,allocated_tile_Byte
ministral3_8b_2512/qkv_projection/one_token,total,ports,196608,0,infinity,1536,25165824,25165824
ministral3_8b_2512/qkv_projection/one_token,total,operator,4096,0,infinity,,25165824,25165824
ministral3_8b_2512/qkv_projection/one_token,Q,ports,131072,0,infinity,1024,16777216,16777216
ministral3_8b_2512/qkv_projection/one_token,Q,operator,4096,0,infinity,,16777216,16777216
ministral3_8b_2512/qkv_projection/one_token,K,ports,32768,0,infinity,256,4194304,4194304
ministral3_8b_2512/qkv_projection/one_token,K,operator,4096,0,infinity,,4194304,4194304
ministral3_8b_2512/qkv_projection/one_token,V,ports,32768,0,infinity,256,4194304,4194304
ministral3_8b_2512/qkv_projection/one_token,V,operator,4096,0,infinity,,4194304,4194304
ministral3_8b_2512/ffn_or_moe/8,total,ports,11010048,176160768,1/16,86016,176160768,176160768
ministral3_8b_2512/ffn_or_moe/8,total,operator,147456,176160768,3/3584,,176160768,176160768
ministral3_8b_2512/ffn_or_moe/8,gate,ports,3670016,58720256,1/16,28672,58720256,58720256
ministral3_8b_2512/ffn_or_moe/8,gate,operator,32768,58720256,1/1792,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/8,up,ports,3670016,58720256,1/16,28672,58720256,58720256
ministral3_8b_2512/ffn_or_moe/8,up,operator,32768,58720256,1/1792,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/8,down,ports,3670016,58720256,1/16,28672,58720256,58720256
ministral3_8b_2512/ffn_or_moe/8,down,operator,114688,58720256,1/512,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/64,total,ports,88080384,176160768,1/2,688128,176160768,176160768
ministral3_8b_2512/ffn_or_moe/64,total,operator,1179648,176160768,3/448,,176160768,176160768
ministral3_8b_2512/ffn_or_moe/64,gate,ports,29360128,58720256,1/2,229376,58720256,58720256
ministral3_8b_2512/ffn_or_moe/64,gate,operator,262144,58720256,1/224,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/64,up,ports,29360128,58720256,1/2,229376,58720256,58720256
ministral3_8b_2512/ffn_or_moe/64,up,operator,262144,58720256,1/224,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/64,down,ports,29360128,58720256,1/2,229376,58720256,58720256
ministral3_8b_2512/ffn_or_moe/64,down,operator,917504,58720256,1/64,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/512,total,ports,704643072,176160768,4,5505024,176160768,176160768
ministral3_8b_2512/ffn_or_moe/512,total,operator,9437184,176160768,3/56,,176160768,176160768
ministral3_8b_2512/ffn_or_moe/512,gate,ports,234881024,58720256,4,1835008,58720256,58720256
ministral3_8b_2512/ffn_or_moe/512,gate,operator,2097152,58720256,1/28,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/512,up,ports,234881024,58720256,4,1835008,58720256,58720256
ministral3_8b_2512/ffn_or_moe/512,up,operator,2097152,58720256,1/28,,58720256,58720256
ministral3_8b_2512/ffn_or_moe/512,down,ports,234881024,58720256,4,1835008,58720256,58720256
ministral3_8b_2512/ffn_or_moe/512,down,operator,7340032,58720256,1/8,,58720256,58720256
ministral3_8b_2512/attention_prefill/1024,total,ports,35667968,2097152,2177/128,294912,2097152,2097152
ministral3_8b_2512/attention_prefill/1024,total,operator,20987904,2097152,1281/128,,2097152,2097152
ministral3_8b_2512/attention_prefill/1024,QK,ports,18874368,1048576,18,147456,1048576,1048576
ministral3_8b_2512/attention_prefill/1024,QK,operator,4194304,1048576,4,,1048576,1048576
ministral3_8b_2512/attention_prefill/1024,AV,ports,16793600,1048576,1025/64,147456,1048576,1048576
ministral3_8b_2512/attention_prefill/1024,AV,operator,16793600,1048576,1025/64,,1048576,1048576
ministral3_8b_2512/attention_prefill/16384,total,ports,8623751168,33554432,32897/128,67633152,33554432,33554432
ministral3_8b_2512/attention_prefill/16384,total,operator,4362338304,33554432,16641/128,,33554432,33554432
ministral3_8b_2512/attention_prefill/16384,QK,ports,4328521728,16777216,258,33816576,16777216,16777216
ministral3_8b_2512/attention_prefill/16384,QK,operator,67108864,16777216,4,,16777216,16777216
ministral3_8b_2512/attention_prefill/16384,AV,ports,4295229440,16777216,16385/64,33816576,16777216,16777216
ministral3_8b_2512/attention_prefill/16384,AV,operator,4295229440,16777216,16385/64,,16777216,16777216
ministral3_8b_2512/attention_prefill/131072,total,ports,550026346496,268435456,262273/128,4299161600,268435456,268435456
ministral3_8b_2512/attention_prefill/131072,total,operator,275416875008,268435456,131329/128,,268435456,268435456
ministral3_8b_2512/attention_prefill/131072,QK,ports,275146342400,134217728,2050,2149580800,134217728,134217728
ministral3_8b_2512/attention_prefill/131072,QK,operator,536870912,134217728,4,,134217728,134217728
ministral3_8b_2512/attention_prefill/131072,AV,ports,274880004096,134217728,131073/64,2149580800,134217728,134217728
ministral3_8b_2512/attention_prefill/131072,AV,operator,274880004096,134217728,131073/64,,134217728,134217728
ministral3_8b_2512/attention_decode/1024,total,ports,65536,2048,32,512,2097152,2097152
ministral3_8b_2512/attention_decode/1024,total,operator,36864,2048,18,,2097152,2097152
ministral3_8b_2512/attention_decode/1024,QK,ports,32768,1024,32,256,1048576,1048576
ministral3_8b_2512/attention_decode/1024,QK,operator,4096,1024,4,,1048576,1048576
ministral3_8b_2512/attention_decode/1024,AV,ports,32768,1024,32,256,1048576,1048576
ministral3_8b_2512/attention_decode/1024,AV,operator,32768,1024,32,,1048576,1048576
ministral3_8b_2512/attention_decode/16384,total,ports,1048576,2048,512,8192,33554432,33554432
ministral3_8b_2512/attention_decode/16384,total,operator,528384,2048,258,,33554432,33554432
ministral3_8b_2512/attention_decode/16384,QK,ports,524288,1024,512,4096,16777216,16777216
ministral3_8b_2512/attention_decode/16384,QK,operator,4096,1024,4,,16777216,16777216
ministral3_8b_2512/attention_decode/16384,AV,ports,524288,1024,512,4096,16777216,16777216
ministral3_8b_2512/attention_decode/16384,AV,operator,524288,1024,512,,16777216,16777216
ministral3_8b_2512/attention_decode/131072,total,ports,8388608,2048,4096,65536,268435456,268435456
ministral3_8b_2512/attention_decode/131072,total,operator,4198400,2048,2050,,268435456,268435456
ministral3_8b_2512/attention_decode/131072,QK,ports,4194304,1024,4096,32768,134217728,134217728
ministral3_8b_2512/attention_decode/131072,QK,operator,4096,1024,4,,134217728,134217728
ministral3_8b_2512/attention_decode/131072,AV,ports,4194304,1024,4096,32768,134217728,134217728
ministral3_8b_2512/attention_decode/131072,AV,operator,4194304,1024,4096,,134217728,134217728
qwen36_35b_a3b/qkv_projection/one_token,total,ports,147456,0,infinity,1152,18874368,18874368
qwen36_35b_a3b/qkv_projection/one_token,total,operator,2048,0,infinity,,18874368,18874368
qwen36_35b_a3b/qkv_projection/one_token,Q,ports,65536,0,infinity,512,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,Q,operator,2048,0,infinity,,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,G,ports,65536,0,infinity,512,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,G,operator,2048,0,infinity,,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,K,ports,8192,0,infinity,64,1048576,1048576
qwen36_35b_a3b/qkv_projection/one_token,K,operator,2048,0,infinity,,1048576,1048576
qwen36_35b_a3b/qkv_projection/one_token,V,ports,8192,0,infinity,64,1048576,1048576
qwen36_35b_a3b/qkv_projection/one_token,V,operator,2048,0,infinity,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,total,ports,196608,3145728,1/16,1536,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/8,total,operator,20480,3145728,5/768,,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/8,gate,ports,65536,1048576,1/16,512,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,gate,operator,16384,1048576,1/64,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,up,ports,65536,1048576,1/16,512,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,up,operator,16384,1048576,1/64,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,down,ports,65536,1048576,1/16,512,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,down,operator,4096,1048576,1/256,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,total,ports,1572864,3145728,1/2,12288,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/64,total,operator,163840,3145728,5/96,,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/64,gate,ports,524288,1048576,1/2,4096,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,gate,operator,131072,1048576,1/8,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,up,ports,524288,1048576,1/2,4096,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,up,operator,131072,1048576,1/8,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,down,ports,524288,1048576,1/2,4096,1048576,1048576
