wl_id,boundary_kind,Q_R_Byte,Q_S_Byte,M_OP,RI_state,RI_exact
wl_7b_q_decode_b1_static_lo,logical_operator,0,7168,25690112,infinite,
wl_7b_q_decode_b1_load_lo,logical_operator,25690112,7168,25690112,finite,1/3584
wl_7b_q_prefill_b1_l2048_load_lo,logical_operator,25690112,14680064,52613349376,finite,4/7
wl_7b_q_prefill_b1_l8192_load_lo,logical_operator,25690112,58720256,210453397504,finite,16/7
wl_7b_q_decode_b8_static_lo,logical_operator,0,57344,205520896,infinite,
wl_7b_q_decode_b8_load_lo,logical_operator,25690112,57344,205520896,finite,1/448
wl_7b_q_prefill_b8_l2048_load_lo,logical_operator,25690112,117440512,420906795008,finite,32/7
wl_7b_q_prefill_b8_l8192_load_lo,logical_operator,25690112,469762048,1683627180032,finite,128/7
wl_7b_k_decode_b1_static_lo,logical_operator,0,7168,3670016,infinite,
wl_7b_k_decode_b1_load_lo,logical_operator,3670016,7168,3670016,finite,1/512
wl_7b_k_prefill_b1_l2048_load_lo,logical_operator,3670016,14680064,7516192768,finite,4
wl_7b_k_prefill_b1_l8192_load_lo,logical_operator,3670016,58720256,30064771072,finite,16
wl_7b_k_decode_b8_static_lo,logical_operator,0,57344,29360128,infinite,
wl_7b_k_decode_b8_load_lo,logical_operator,3670016,57344,29360128,finite,1/64
wl_7b_k_prefill_b8_l2048_load_lo,logical_operator,3670016,117440512,60129542144,finite,32
wl_7b_k_prefill_b8_l8192_load_lo,logical_operator,3670016,469762048,240518168576,finite,128
wl_7b_v_decode_b1_static_lo,logical_operator,0,7168,3670016,infinite,
wl_7b_v_decode_b1_load_lo,logical_operator,3670016,7168,3670016,finite,1/512
wl_7b_v_prefill_b1_l2048_load_lo,logical_operator,3670016,14680064,7516192768,finite,4
wl_7b_v_prefill_b1_l8192_load_lo,logical_operator,3670016,58720256,30064771072,finite,16
wl_7b_v_decode_b8_static_lo,logical_operator,0,57344,29360128,infinite,
wl_7b_v_decode_b8_load_lo,logical_operator,3670016,57344,29360128,finite,1/64
wl_7b_v_prefill_b8_l2048_load_lo,logical_operator,3670016,117440512,60129542144,finite,32
wl_7b_v_prefill_b8_l8192_load_lo,logical_operator,3670016,469762048,240518168576,finite,128
wl_7b_o_decode_b1_static_lo,logical_operator,0,7168,25690112,infinite,
